ID,long,lat,utm_x,utm_y
1,32.56820637,0.320187632,1120.5765165216958,35.55927760212576
2,32.59362712,0.34065335,1123.4174445156596,37.833802955893134
3,32.56655597,0.313103244,1120.392418717432,34.772404000681455
4,32.55814396,0.353368071,1119.449397361034,39.24354250406064
5,32.59435663,0.367387686,1123.4972132032035,40.803035643526975
6,32.56555789,0.358632151,1120.2779409713498,39.828653922286264
7,32.56765042,0.379859123,1120.510412237677,42.186211514556476
8,32.55569873,0.367843107,1119.1750321069135,40.85090717727185
9,32.59099228,0.375812217,1123.1204563238998,41.7384444453341
10,32.5854163,0.354156503,1122.49851833347,39.332941134602784
11,32.56075386,0.334930303,1119.742387605312,37.19608907631921
12,32.564596,0.339935414,1120.1716318244867,37.75218595641849
13,32.57354189,0.33964944,1121.171838896479,37.72100471714616
14,32.54063796,0.321586344,1117.4942372250432,35.71293279216344
15,32.54393707,0.297321872,1117.864488327911,33.01849083698919
16,32.54830962,0.333287945,1118.351205652486,37.01290792954057
17,32.559763770000004,0.329240544,1119.6320494524327,36.56414408852884
18,32.54299695,0.305486215,1117.7589201628891,33.92511137440412
19,32.53880421,0.320129902,1117.2893138829902,35.55108031848427
20,32.54457322,0.342636173,1117.9328815790818,38.05082201511057
21,32.54004868,0.317635993,1117.4285936913705,35.27420142923071
22,32.54097522,0.285404907,1117.5340074386495,31.694915842088832
23,32.57091294,0.304357606,1120.880058104295,33.80138927310917
24,32.5583797,0.330321739,1119.4772397342367,36.684130467247364
25,32.55962634,0.292290875,1119.618851016447,32.46065328011979
26,32.63096736,0.288825644,1127.5956708995482,32.07975812740782
27,32.63661696,0.256769845,1128.2290670977882,28.51961159237269
28,32.59514931,0.282123717,1123.5911004124166,31.33343931068976
29,32.59139945,0.315483963,1123.169938554579,35.03829430874787
30,32.59629691,0.303050568,1123.7182505369146,33.65769970178152
31,32.57253149,0.293135925,1121.0616544085135,32.555220579318934
32,32.593822780000004,0.290363566,1123.4423335881754,32.24850607570195
33,32.58784243,0.271943688,1122.7746589239355,30.20243751650096
34,32.57784898,0.286188896,1121.6565623957783,31.78398421550499
35,32.58383916,0.296949098,1122.3257125072644,32.979345641092266
36,32.6091047,0.266984097,1125.1522612644317,29.652704523001987
37,32.59705082,0.31231408,1123.8020037300062,34.686578001838875
38,32.60488579,0.347769191,1124.675811095405,38.62485497743787
39,32.60387842,0.370568723,1124.5616184845783,41.157004996738486
40,32.63847978,0.332044335,1128.4331227517378,36.880522609137984
41,32.59700174,0.388959006,1123.7914106876995,43.19899950794761
42,32.62736544,0.344806666,1127.1895293113237,38.297310789164236
43,32.64862535,0.307357111,1129.5691008670826,34.13908740491447
44,32.64282948,0.301909519,1128.9213279364337,33.53366920529423
45,32.60602168,0.334812744,1124.8036577011073,37.18592487711541
46,31.98673701,-0.322854886,1055.59681403145,-35.82167243982701
47,31.71842133,-0.366113969,1025.6299370880931,-40.60513582992507
48,31.75906552,-0.284714262,1030.1724115519653,-31.579088785927265
49,31.81230803,-0.194976469,1036.1212716170544,-21.627513084255988
50,31.72665291,-0.092233086,1026.559074708384,-10.22955118211551
51,31.66024259,-0.135916753,1019.1434601189522,-15.073052930974423
52,31.58577767,-0.04388572,1010.8314570481033,-4.866374275945726
53,31.50511064,0.103649319,1001.8260529951636,11.49211054354226
54,31.39343666,-0.296553867,989.3559991584791,-32.875368978892595
55,31.43195593,-0.110797566,993.6606755225505,-12.283437893228573
56,31.22403994,-0.241244752,970.4549701920092,-26.737913693968903
57,31.62515807,-0.325458698,1015.2196568116128,-36.091288468871674
58,31.47155214,-0.415789376,998.0680053383801,-46.09848527629639
